sample	MX1303_C5JC4ACXX_3_TAGGAT	MX1304_C5JC4ACXX_4_CCGGTG	MX1305_C5JC4ACXX_5_TGTTGG	MX1306_C5JC4ACXX_6_GTATAG	MX1307_C5JC4ACXX_7_AGCATC	MX1307_C5JC4ACXX_7_CAGGCC	MX1310_C5JC1ACXX_4_CTCTAC	MX1310_C5JC1ACXX_4_GGAACT	MX1310_C5JC1ACXX_4_GGACGG	MX1310_C5JC1ACXX_4_TGACAT	MX1355_C6RGTANXX_2_AAGCTA	MX1355_C6RGTANXX_2_ACATCG	MX1355_C6RGTANXX_2_CAAGTT	MX1355_C6RGTANXX_2_CATTCA	MX1355_C6RGTANXX_2_GGAACT	MX1356_C6RGTANXX_3_ATGGCA	MX1356_C6RGTANXX_3_CCTTGC	MX1356_C6RGTANXX_3_CGGCCT	MX1356_C6RGTANXX_3_GCGTGG	MX1356_C6RGTANXX_3_GCTGTA	MX1356_C6RGTANXX_3_GTATAG	MX1356_C6RGTANXX_3_TAGTTG	MX1356_C6RGTANXX_3_TGACAT	MX1357_C6RGTANXX_4_AATTAT	MX1357_C6RGTANXX_4_AGTCTT	MX1357_C6RGTANXX_4_CATGGG	MX1357_C6RGTANXX_4_GCCTAA	MX1357_C6RGTANXX_4_GTAGCC	MX1357_C6RGTANXX_4_TATCGT	MX1357_C6RGTANXX_4_TCTGAG
hsa-miR-3529-3p	0.44	0.00	0.07	0.20	0.23	0.06	0.22	0.31	0.25	0.06	0.78	1.16	0.37	0.34	0.09	0.29	0.59	0.13	0.48	0.27	0.42	0.00	1.24	0.20	0.66	0.59	0.39	1.21	0.24	0.48
hsa-miR-3529-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3591-3p	0.26	0.26	0.14	0.05	0.08	0.00	0.00	0.21	0.00	0.00	1.55	0.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3591-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3605-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00
hsa-miR-3605-5p	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3606-3p	0.00	0.00	0.03	0.10	0.00	0.00	0.00	0.07	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.06	0.07	0.00	0.02	0.00	0.00	0.00	0.04	0.00	0.00	0.00
hsa-miR-3606-5p	0.00	0.00	0.03	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.03	0.00	0.00	0.00	0.08	0.03
hsa-miR-3607-3p	11.24	33.67	15.86	27.11	28.15	19.64	6.57	32.18	17.72	34.84	24.47	35.73	36.04	11.13	12.82	16.03	24.63	21.98	6.13	9.67	26.09	29.25	16.53	24.12	28.24	24.03	20.42	27.74	29.73	38.97
hsa-miR-3607-5p	0.17	1.10	0.14	0.20	0.54	0.96	0.89	0.43	0.32	0.81	0.39	0.42	0.37	0.57	0.00	0.29	0.40	0.64	0.54	0.63	0.84	0.59	0.47	2.55	0.86	1.17	0.32	0.46	0.99	1.07
hsa-miR-3609	0.35	0.39	0.48	0.35	0.31	0.26	2.15	0.43	0.49	0.92	0.39	0.60	0.56	0.34	1.26	0.58	0.86	0.51	1.16	0.93	0.87	0.30	0.53	0.20	1.04	1.29	0.71	0.75	0.93	1.07
hsa-miR-361-3p	0.00	0.32	0.21	0.00	0.12	0.00	0.05	0.24	0.10	0.11	0.39	1.37	0.75	0.34	0.81	0.00	0.40	0.13	0.14	0.09	0.24	0.00	0.24	0.20	0.23	0.12	0.46	0.35	0.27	0.21
hsa-miR-361-5p	3.48	3.73	2.23	3.64	2.07	2.62	4.20	5.12	2.76	3.68	4.27	5.06	4.67	7.61	8.61	2.77	3.57	1.29	3.74	3.57	3.34	1.77	3.08	3.33	2.42	0.82	2.71	2.13	3.52	2.24
hsa-miR-3610	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3611	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.03	0.00	0.00	0.00	0.03	0.00
hsa-miR-3612	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3613-3p	0.09	0.19	0.03	0.00	0.12	0.00	0.09	0.10	0.12	0.06	0.39	0.70	0.19	0.00	0.36	0.29	0.00	0.26	0.34	0.36	0.31	0.00	0.40	0.39	0.09	0.12	0.18	0.23	0.61	0.15
hsa-miR-3613-5p	3.83	4.38	1.99	2.78	2.69	1.91	4.51	3.43	6.47	6.35	4.66	5.97	3.17	9.76	6.81	5.69	5.94	3.09	5.72	6.30	4.21	2.36	8.34	9.80	3.68	5.51	3.10	4.25	6.47	5.87
hsa-miR-3614-3p	0.09	0.39	0.24	0.15	0.27	0.32	0.27	0.50	0.20	0.17	1.94	1.55	0.75	0.45	0.63	0.15	0.07	0.26	0.14	0.21	0.21	0.00	0.09	0.20	0.26	0.12	0.11	0.06	0.03	0.21
hsa-miR-3614-5p	0.00	0.13	0.03	0.25	0.19	0.13	0.00	0.12	0.10	0.03	0.78	1.12	0.37	0.34	0.36	0.00	0.00	0.13	0.00	0.03	0.07	0.30	0.04	0.00	0.17	0.00	0.07	0.12	0.03	0.03
hsa-miR-3615	7.40	7.53	4.90	6.63	6.38	4.08	2.06	7.25	3.45	8.52	9.71	9.07	5.42	5.11	4.39	2.77	8.32	7.58	8.37	3.06	6.37	3.55	7.30	4.71	3.39	4.69	4.67	4.37	5.20	7.51
hsa-miR-3616-3p	1.13	0.39	0.45	0.41	0.46	0.45	0.63	0.31	0.57	0.72	0.00	1.20	0.37	0.91	0.36	0.15	1.32	0.64	0.95	0.21	0.66	1.48	0.29	0.00	0.06	0.00	0.21	0.06	0.29	0.87
hsa-miR-3616-5p	0.09	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.03	0.04	0.00	0.00	0.00	0.00	0.00	0.07	0.17	0.03	0.00
hsa-miR-3617-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3617-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3618	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00
hsa-miR-3619-3p	0.00	0.00	0.00	0.41	0.04	0.06	0.05	0.14	0.07	0.22	0.00	0.14	0.00	0.00	0.00	0.00	0.20	0.00	0.07	0.09	0.00	0.00	0.04	0.00	0.09	0.00	0.04	0.00	0.05	0.03
hsa-miR-3619-5p	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00
hsa-miR-362-3p	12.54	18.99	9.97	13.56	13.17	10.65	9.43	11.87	14.87	20.08	9.71	6.89	2.05	15.44	15.42	13.12	18.75	3.34	14.57	12.19	17.97	1.48	15.04	11.37	7.82	8.21	8.80	6.32	11.27	17.74
hsa-miR-362-5p	18.81	26.72	9.73	19.73	13.10	11.54	6.43	16.08	24.74	24.87	36.51	38.54	18.49	11.35	20.08	27.84	34.20	20.05	21.03	17.35	41.34	10.34	25.71	14.31	18.15	11.37	27.51	21.02	15.11	28.51
hsa-miR-3620-3p	0.17	0.26	0.24	0.25	0.35	0.32	0.09	0.19	0.30	0.25	0.00	0.21	0.00	0.11	0.18	0.00	0.13	0.13	0.14	0.12	0.38	0.30	0.33	0.59	0.12	0.12	0.21	0.17	0.03	0.45
hsa-miR-3620-5p	0.09	0.19	0.00	2.88	0.81	0.96	0.49	0.05	0.07	0.08	0.00	0.04	0.00	0.00	0.00	0.00	0.07	0.13	0.07	0.03	0.04	0.59	0.02	0.59	0.03	0.12	0.00	0.00	0.67	0.03
hsa-miR-3621	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3622a-3p	0.26	0.32	0.00	0.20	0.23	0.06	0.00	0.24	0.12	0.22	0.78	0.56	1.12	0.11	0.00	0.00	0.26	0.13	0.41	0.09	0.21	0.89	0.04	0.00	0.06	0.00	0.04	0.00	0.03	0.33
hsa-miR-3622a-5p	0.00	0.00	0.00	0.05	0.04	0.06	0.00	0.02	0.00	0.03	0.00	0.14	0.00	0.00	0.09	0.00	0.07	0.00	0.07	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.03	0.00
hsa-miR-3622b-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3622b-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-363-3p	1.05	0.26	0.72	0.25	0.73	0.57	0.80	2.30	2.07	3.70	4.27	2.95	0.93	6.81	5.92	0.29	0.53	1.03	1.97	0.27	1.78	0.59	0.75	0.39	0.17	0.00	0.68	0.35	0.40	2.56
hsa-miR-363-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3646	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3648	0.00	0.06	0.00	0.20	0.04	0.00	1.21	0.17	0.15	0.14	0.00	0.04	0.19	0.00	0.00	0.00	0.26	0.00	0.07	0.09	0.00	0.00	0.16	0.00	0.03	0.00	0.00	0.06	0.08	0.12
hsa-miR-3648	0.00	0.06	0.00	0.20	0.04	0.00	1.21	0.17	0.15	0.14	0.00	0.04	0.19	0.00	0.00	0.00	0.26	0.00	0.07	0.09	0.00	0.00	0.16	0.00	0.03	0.00	0.00	0.06	0.08	0.12
hsa-miR-3649	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3650	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3651	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00
hsa-miR-3652	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.11	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.06	0.00	0.07	0.12	0.05	0.03
hsa-miR-3653-3p	0.00	0.06	0.00	0.10	0.00	0.00	0.09	0.07	0.07	0.03	0.39	0.28	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.03	0.10	0.00	0.00	0.20	0.06	0.00	0.04	0.06	0.05	0.06
hsa-miR-3653-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.39	0.04	0.00	0.00	0.00	0.00	0.07	0.26	0.07	0.03	0.07	0.00	0.02	0.00	0.00	0.00	0.04	0.17	0.05	0.12
hsa-miR-3654	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3655	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.05	0.00
hsa-miR-3656	0.35	0.64	1.58	2.78	0.19	0.26	4.42	0.88	0.69	4.93	0.39	0.18	2.61	0.34	0.27	0.44	0.79	0.39	0.27	2.55	0.21	11.82	0.93	0.00	0.35	0.23	0.18	0.17	0.99	0.81
hsa-miR-3657	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3658	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3659	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.02	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.03	0.00	0.00	0.06	0.05	0.00
hsa-miR-365a-3p	61.23	57.63	205.92	92.66	64.52	108.94	19.62	31.85	64.41	47.67	253.24	181.44	168.43	164.04	53.26	336.56	51.03	219.93	72.55	167.93	173.17	213.58	83.63	390.78	297.87	292.63	221.59	292.79	67.51	45.98
hsa-miR-365a-5p	1.05	0.84	3.02	0.71	0.73	0.89	0.05	0.69	0.44	0.59	0.78	1.69	3.36	0.34	1.17	1.60	0.33	3.47	0.54	1.23	1.05	6.20	0.53	3.33	2.85	1.64	2.46	1.95	1.04	0.51
hsa-miR-365b-3p	61.23	57.63	205.88	92.66	64.52	109.00	19.62	31.85	64.39	47.67	253.24	181.44	168.43	164.04	53.26	336.56	51.03	219.93	72.55	167.93	173.17	213.87	83.65	390.58	297.79	292.63	221.70	292.68	67.49	45.92
hsa-miR-365b-5p	0.70	0.71	1.23	0.76	0.15	0.45	0.09	0.59	0.49	0.53	0.39	0.46	0.56	0.23	1.08	0.00	0.40	2.44	0.48	0.18	0.84	2.36	0.16	0.00	0.09	0.00	0.11	0.12	0.19	0.66
hsa-miR-3660	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3661	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3662	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3663-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3663-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3664-3p	0.00	0.13	0.00	0.05	0.04	0.00	0.00	0.00	0.03	0.03	0.00	0.04	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.06	0.00	0.00	0.06	0.03	0.00
hsa-miR-3664-5p	0.00	0.06	0.00	0.05	0.04	0.13	0.09	0.02	0.03	0.08	0.00	0.46	0.00	0.23	0.00	0.15	0.00	0.00	0.14	0.03	0.07	0.30	0.02	0.39	0.23	0.00	0.25	0.23	0.08	0.09
hsa-miR-3665	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3666	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3667-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3667-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3668	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-367-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-367-5p	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3670	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3670	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3670	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3670	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3671	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3672	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3674	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
hsa-miR-3675-3p	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.18	0.19	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.03
hsa-miR-3675-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3677-3p	1.05	1.67	0.17	1.11	0.54	0.45	0.45	0.81	0.76	1.14	0.00	1.09	0.75	0.23	0.27	0.00	0.40	1.03	0.89	0.18	0.49	0.30	0.56	0.20	0.20	0.00	0.21	0.40	0.29	0.69
hsa-miR-3677-5p	0.00	0.32	0.17	0.15	0.08	0.00	0.09	0.14	0.10	0.20	0.39	0.63	0.56	0.00	0.00	0.00	0.13	0.26	0.20	0.06	0.28	0.59	0.11	0.00	0.03	0.00	0.32	0.12	0.05	0.00
hsa-miR-3678-3p	0.09	0.06	0.07	0.10	0.15	0.19	0.05	0.19	0.10	0.39	0.00	0.07	0.00	0.23	0.18	0.00	0.00	0.00	0.14	0.03	0.14	0.00	0.07	0.00	0.17	0.00	0.11	0.00	0.05	0.12
hsa-miR-3678-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03
hsa-miR-3679-3p	0.09	0.26	0.07	0.05	0.00	0.00	0.00	0.07	0.05	0.20	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.13	0.14	0.00	0.04	0.00	0.04	0.00	0.03	0.00	0.07	0.06	0.00	0.00
hsa-miR-3679-5p	0.26	1.16	2.02	0.30	1.11	0.38	0.67	0.78	0.76	0.53	1.17	0.91	0.19	0.45	0.36	0.44	0.40	0.77	0.41	1.02	0.84	0.30	1.11	0.39	0.66	0.23	0.61	0.46	0.43	0.66
hsa-miR-3680-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.02	0.00	0.00	0.00	0.00	0.06	0.00	0.00
hsa-miR-3680-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03
hsa-miR-3680-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.02	0.00	0.00	0.00	0.00	0.06	0.00	0.00
hsa-miR-3680-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03
hsa-miR-3681-3p	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.02	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00
hsa-miR-3681-5p	0.09	0.06	0.00	0.00	0.00	0.06	0.00	0.05	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.12	0.00	0.00
hsa-miR-3682-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3682-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3683	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-3684	0.70	0.26	0.24	0.10	0.08	0.13	0.09	0.17	0.17	0.11	0.00	0.14	0.37	0.23	0.18	0.15	0.07	0.13	0.00	0.03	0.07	0.00	0.02	0.00	0.09	0.12	0.04	0.06	0.00	0.06
hsa-miR-3685	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.05	0.00	0.00	0.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00
hsa-miR-3686	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
hsa-miR-3687	0.09	0.06	0.03	0.05	0.00	0.06	1.03	0.10	0.10	0.36	0.39	0.21	0.19	0.00	0.27	0.00	0.40	0.00	0.00	0.27	0.04	0.00	0.09	0.00	0.09	0.00	0.00	0.00	0.16	0.09
